Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1661155088.798424,81,1661155088,792251623,world,3.412739416261564,5.122940861553789,0.3842741847038269,0.0007346124907812008,0.0015631304732563636,-0.4094816227714377,0.9123167309548158
1661155088.9984467,82,1661155088,992225874,world,3.412683882603658,5.122881080876312,0.38495394587516785,0.00029182869962627125,0.0031171719751963397,-0.4090191562275178,0.9125204260255309
1661155089.19846,83,1661155089,192262625,world,3.412709102156531,5.122890268545532,0.38503849506378174,6.002368191464994e-05,0.003356589946251041,-0.40886689561200446,0.91258785405773
1661155089.3984683,84,1661155089,392226172,world,3.4127042625958808,5.122886641399422,0.3847545385360718,0.0002800633113558894,0.002708968735892943,-0.40887723304650325,0.9125853337355171
1661155089.5984473,85,1661155089,582227499,world,3.4126599624983043,5.122869374948826,0.38495373725891113,6.0229930878376954e-05,0.003183466062209767,-0.4088039492071992,0.9126166736526261
1661155089.7984807,86,1661155089,792275507,world,3.4126578101568286,5.122876837417477,0.38500407338142395,0.0001180855997641706,0.0032824651221677647,-0.4089682588732981,0.9125426974737434
1661155089.9984677,87,1661155089,982255262,world,3.412949181910116,5.1231150123651945,0.3845258355140686,0.0028683017083266193,0.0011180401809046865,-0.40953243236496867,0.9122903647812446
1661155090.1984532,88,1661155090,192226219,world,3.412671488805951,5.122884012975062,0.3849853575229645,0.00011098330712243495,0.0032168504616163964,-0.40883671601428734,0.9126018733239954
1661155090.3985279,89,1661155090,392292121,world,3.4126981123103017,5.1229019385938175,0.38493233919143677,0.00022374741769456757,0.0030759084968661216,-0.40884731114164385,0.9125975919846927
1661155090.598506,90,1661155090,592224965,world,3.4127179551846605,5.122898533619295,0.38470545411109924,0.0007637761165546098,0.0023722617933678533,-0.40903021785374394,0.9125174353964675
1661155090.7984571,91,1661155090,792275595,world,3.412664175537377,5.12288547224411,0.3850260376930237,-6.323608123222097e-05,0.0033846357160588606,-0.4088601696057548,0.9125907636790003
1661155090.998514,92,1661155090,992241610,world,3.4127510967200907,5.122907668753452,0.38497745990753174,0.00019930560017348588,0.0031869363865685697,-0.40878058949908197,0.9126271053187763
1661155091.1984792,93,1661155091,192240246,world,3.4127325799278094,5.122894523491709,0.3847180902957916,0.0005552616835412541,0.0025235510193406924,-0.4089561258416598,0.9125503879300562
1661155091.3984413,94,1661155091,392256953,world,3.412712338297118,5.122906167620911,0.38487401604652405,0.00033028459712954386,0.002913314239045418,-0.4089419161480969,0.9125557039048917
1661155091.5984962,95,1661155091,592279248,world,3.4127481724759727,5.122921259124658,0.38494959473609924,0.0005038583691934296,0.003033271712334031,-0.4088226867078767,0.9126086544748611
1661155091.7984443,96,1661155091,792228440,world,3.41182292210161,5.122658357000945,0.38692954182624817,-0.0047998071022285075,0.01094489280383182,-0.4082899960743899,0.9127740411946808
1661155091.9984858,97,1661155091,992229373,world,3.412646255399317,5.122846980034478,0.38515526056289673,4.685959341322265e-05,0.0037748713387943406,-0.40907311637187005,0.9124937992185813
1661155092.1984854,98,1661155092,182231122,world,3.412728303634437,5.122885995568764,0.3849685788154602,2.5757387537336373e-06,0.0032176414513253784,-0.40880012212704825,0.9126182701029861
1661155092.398453,99,1661155092,392257306,world,3.412731157239067,5.122904300830396,0.3847696781158447,0.0005179655446976481,0.0026219489783510133,-0.4088741418408432,0.9125868688673772
1661155092.5984757,100,1661155092,592286950,world,3.412703521034984,5.122888431643013,0.38485807180404663,0.0004581687639899982,0.002820528319935721,-0.4090095812800344,0.9125256145021416
1661155092.7984774,101,1661155092,792256404,world,3.412672467315398,5.122873613196612,0.38489845395088196,0.00025628818292939485,0.002988834137120577,-0.40899753485142565,0.9125305571170342
1661155092.998502,102,1661155092,992217206,world,3.4126409306371164,5.1228632919490895,0.3848522901535034,0.00011082826743200286,0.002907346718611125,-0.4090670650901379,0.9124996829099142
1661155093.1984468,103,1661155093,192238439,world,3.4127046753115713,5.122904431734628,0.38496947288513184,0.0002561393034669105,0.0031753376014951383,-0.4088179496172707,0.9126103964422629
1661155093.3984878,104,1661155093,392226591,world,3.4127097553726298,5.122910678204769,0.38501647114753723,0.00028471157871579967,0.0032407462322851365,-0.4088908531280226,0.9125774962880757
1661155093.5984368,105,1661155093,592260430,world,3.4126542249594385,5.12286683489982,0.3848539888858795,0.0002366838709435045,0.0028874293946109368,-0.4091685604894641,0.9124542157495993
1661155093.7984772,106,1661155093,792244552,world,3.412710752309504,5.122911451915459,0.3849744200706482,0.000275771764766991,0.0031623795048497366,-0.4088628053343958,0.9125903405799828
1661155093.9985201,107,1661155093,992232066,world,3.412694825502451,5.122902117900313,0.38501083850860596,0.0003532723016162638,0.00321039064709223,-0.40889376172404407,0.9125762763811771
1661155094.1984856,108,1661155094,192252704,world,3.4127579653208358,5.122920825510397,0.3847619295120239,0.00035112881814992826,0.0027012762965130414,-0.40877940197985235,0.9126291581644305
1661155094.3984995,109,1661155094,392330410,world,3.4127341731079954,5.122913469481378,0.385027140378952,0.0001450005997500638,0.003332028046734403,-0.40874038880274727,0.9126446028577065
1661155094.5984998,110,1661155094,592227188,world,3.4126751540187183,5.122882822844156,0.3849915564060211,0.00022921510608960873,0.0032210187362854185,-0.409006360466739,0.9125258185917194
1661155094.798575,111,1661155094,792266382,world,3.412731113997125,5.122903566763702,0.3848273456096649,0.0003829603795805882,0.0028304358510331832,-0.4089108571124192,0.9125698619337741
