,ranges_0,ranges_1,ranges_2,ranges_3,ranges_4,ranges_5,ranges_6,ranges_7,ranges_8,ranges_9,ranges_10,ranges_11,ranges_12,ranges_13,ranges_14,ranges_15,ranges_16,ranges_17,ranges_18,ranges_19,ranges_20,ranges_21,ranges_22,ranges_23,ranges_24,ranges_25,ranges_26,ranges_27,ranges_28,ranges_29,ranges_30,ranges_31,ranges_32,ranges_33,ranges_34,ranges_35,ranges_36,ranges_37,ranges_38,ranges_39,ranges_40,ranges_41,ranges_42,ranges_43,ranges_44,ranges_45,ranges_46,ranges_47,ranges_48,ranges_49,ranges_50,ranges_51,ranges_52,ranges_53,ranges_54,ranges_55,ranges_56,ranges_57,ranges_58,ranges_59,ranges_60,ranges_61,ranges_62,ranges_63,ranges_64,ranges_65,ranges_66,ranges_67,ranges_68,ranges_69,ranges_70,ranges_71,ranges_72,ranges_73,ranges_74,ranges_75,ranges_76,ranges_77,ranges_78,ranges_79,ranges_80,ranges_81,ranges_82,ranges_83,ranges_84,ranges_85,ranges_86,ranges_87,ranges_88,ranges_89,ranges_90,ranges_91,ranges_92,ranges_93,ranges_94,ranges_95,ranges_96,ranges_97,ranges_98,ranges_99,ranges_100,ranges_101,ranges_102,ranges_103,ranges_104,ranges_105,ranges_106,ranges_107,ranges_108,ranges_109,ranges_110,ranges_111,ranges_112,ranges_113,ranges_114,ranges_115,ranges_116,ranges_117,ranges_118,ranges_119,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29,angles_30,angles_31,angles_32,angles_33,angles_34,angles_35,angles_36,angles_37,angles_38,angles_39,angles_40,angles_41,angles_42,angles_43,angles_44,angles_45,angles_46,angles_47,angles_48,angles_49,angles_50,angles_51,angles_52,angles_53,angles_54,angles_55,angles_56,angles_57,angles_58,angles_59,angles_60,angles_61,angles_62,angles_63,angles_64,angles_65,angles_66,angles_67,angles_68,angles_69,angles_70,angles_71,angles_72,angles_73,angles_74,angles_75,angles_76,angles_77,angles_78,angles_79,angles_80,angles_81,angles_82,angles_83,angles_84,angles_85,angles_86,angles_87,angles_88,angles_89,angles_90,angles_91,angles_92,angles_93,angles_94,angles_95,angles_96,angles_97,angles_98,angles_99,angles_100,angles_101,angles_102,angles_103,angles_104,angles_105,angles_106,angles_107,angles_108,angles_109,angles_110,angles_111,angles_112,angles_113,angles_114,angles_115,angles_116,angles_117,angles_118,angles_119,x,y,theta
0,[4.177000045776367],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.9974285647982644],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.5309791627029578],[0.4962499998509884],[0.47793749781946343],[0.46033333490292233],[0.44722917055090267],[0.4310416653752327],[0.4234375028560559],[0.4182083314905564],[0.4042916689068079],[0.39497916772961617],[0.39085416433711845],[0.38235416760047275],[0.37952083349227905],[0.37574999903639156],[0.3690208302189906],[0.3662083335220814],[0.36018750506142777],[0.3572916655490796],[0.35666666738688946],[0.36037500264743966],[0.3597708394130071],[0.3586875032633543],[0.3585416718075673],[0.35656250081956387],[0.35560416368146736],[0.3539583304276069],[0.3541666629413764],[0.35281248949468136],[0.35620833436648053],[0.3592083373417457],[0.3602708429098129],[0.3634999990463257],[0.36752083835502464],[0.3747708338002364],[0.3763333310683568],[0.3768749988327424],[0.380812502776583],[0.38781249957780045],[0.3939791681865851],[0.4035416667660077],[0.4056041706353426],[0.41277083319922286],[0.41908333574732143],[0.4243958331644535],[0.4494615380580609],[0.47853333155314126],[0.48317777845594617],[0.4902708337952693],[0.5430952409903208],[nan],[3.8039166629314423],[3.7742127611282026],[3.8352978787523635],[3.8652272766286675],[3.9088510553887548],[3.930893619009789],[3.9828125139077506],[4.001613649454984],[4.054925036430359],[4.105702683732316],[4.1274721887376575],[4.160466702779134],[4.165888892279731],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.184999942779541],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.5235987901687622],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.6981316804885864],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.0646508932113647],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383425],[1.8151423931121824],[1.832595705986023],[1.8500490188598637],[1.8675023317337038],[1.8849555253982544],[1.9024088382720947],[nan],[1.9373154640197756],[1.954768776893616],[1.972222089767456],[1.9896752834320068],[2.0071287155151367],[2.0245819091796875],[2.0420351028442383],[2.059488534927368],[2.076941728591919],[2.094395160675049],[2.1118483543396],[2.1293017864227286],[2.1467549800872803],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.373647689819336],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],3.8268015117325183,3.8021307964877136,1.6201308344363712
1,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.648897939798783],[3.8072666856977673],[4.159607120922634],[4.169000148773193],[nan],[4.178583264350891],[4.174999989961323],[nan],[4.164000034332275],[4.198999881744385],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.783947367417185],[0.8169687539339066],[0.7505789524630496],[0.7319999933242798],[0.7228888935512967],[0.7256666677338737],[0.704378376135955],[0.7184999994933605],[0.7039361710244036],[0.6703673418687315],[0.6623877566687915],[0.6542449009661772],[0.6557550989851659],[0.6461836695671082],[0.6446530624311797],[0.6468775503489436],[0.6495510218094807],[0.6491632656175264],[0.6504285736959807],[0.6566326484388235],[0.6630612259008446],[0.664632653703495],[0.6957555558946398],[0.7085641026496887],[0.7152325538701789],[0.7134411773260902],[0.6916999965906143],[0.6480000217755636],[0.7343999981880188],[0.7893999993801117],[0.7367692337586329],[0.7848620743587099],[0.7738437484949827],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.911999940872192],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.8826734630429014],[3.0874285795250715],[3.3106734849968733],[3.2924897962686965],[3.29010203906468],[3.273612251087111],[3.2702244885113774],[3.26655100802986],[3.255795907001106],[3.2580408320135],[3.2595510434131234],[3.2539591740588754],[3.2691836989655787],[3.2686122485569546],[3.2855306206917274],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.8203047513961792],[0.8377580642700195],[0.8552113175392151],[0.8726646304130554],[nan],[0.9075711965560912],[0.9250245094299316],[nan],[0.9599310755729676],[0.977384388446808],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387813],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383427],[1.8151423931121822],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.076941728591919],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.356194496154785],[2.373647689819336],[2.391101121902466],[2.4085543155670166],[2.4260077476501465],[2.4434609413146973],[2.460914134979248],[2.478367567062378],[2.4958207607269287],[2.5132741928100586],[2.5307273864746094],[2.54818058013916],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.1172429171779243,3.9030503961688465,0.5890164417407934
2,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7893888900677363],[0.7698333263397217],[0.812333325544993],[0.7818571414266314],[nan],[0.7338260878687319],[0.7079787190924299],[0.6995624974370003],[0.6919374987483025],[0.6499583336214224],[0.6388541671137015],[0.6360816347355746],[0.6284693844464361],[0.6224489808082581],[0.6215208321809769],[0.6190408139812703],[0.6187550997247502],[0.6200408169201442],[0.6192448942028747],[0.6210408125604902],[0.6228571400350454],[0.6444489834259968],[0.6454081644817274],[0.6468125035365423],[0.6545208332439264],[0.656448982199844],[0.6924347851587378],[0.6978125013411045],[0.7201176496113048],[0.7395789529147901],[0.721499996052848],[0.7392222185929617],[0.7133461534976959],[0.7822187505662441],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.197000026702881],[4.125999927520752],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[nan],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.059488534927368],[2.076941728591919],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],2.99926823458986,4.445700157782482,-0.027593001996369545
3,[nan],[nan],[nan],[3.911222203572591],[3.9593571765082225],[3.9751052354511462],[3.860461559051122],[nan],[nan],[nan],[3.8709999561309814],[3.7144285464773374],[nan],[nan],[nan],[nan],[nan],[3.6569999816805816],[3.579897963270849],[3.576285712572993],[3.671904751232692],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.8767777813805474],[0.7716562487185001],[0.7608846150911771],[0.760624997317791],[0.7349411845207214],[0.8346666693687439],[0.7285294147098765],[0.7163529431118685],[0.7167187537997961],[0.6924680826511789],[0.7022045471451499],[0.7026326510370994],[0.6831458322703838],[0.670551023921188],[0.674510200412906],[0.6834898019323543],[0.6891250051558018],[0.6853061245412243],[0.6864489791344623],[0.6918666667408413],[0.6898809501102993],[0.699607138122831],[0.6923999965190888],[0.7242142856121063],[0.729119999408722],[0.7003888951407539],[0.741916666428248],[0.7260416696468989],[0.744115377847965],[0.7476428576878139],[0.7671562526375055],[nan],[nan],[nan],[nan],[nan],[3.9326000009264264],[3.9681562557816505],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.183000087738037],[4.176000118255615],[nan],[4.114999771118164],[4.197000026702881],[4.183600044250488],[4.182333469390869],[4.190199947357177],[4.156333287556966],[4.17514283316476],[4.185624897480011],[4.17214298248291],[4.174000072479248],[4.180333375930786],[4.179999828338623],[4.165999889373779],[4.179499864578247],[4.195666631062825],[4.1875],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.5759586691856384],[0.593411922454834],[0.6108652353286743],[0.6283185482025146],[nan],[nan],[nan],[0.6981316804885864],[0.7155849933624268],[nan],[nan],[nan],[nan],[nan],[0.8203047513961792],[0.8377580642700195],[0.8552113175392151],[0.8726646304130554],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387813],[1.378810048103332],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446773],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[nan],[nan],[nan],[nan],[nan],[1.8849555253982544],[1.9024088382720947],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.1467549800872803],[2.164208173751831],[nan],[2.199114799499512],[2.2165682315826416],[2.2340214252471924],[2.251474618911743],[2.268928050994873],[2.286381244659424],[2.3038346767425537],[2.3212878704071045],[2.3387413024902344],[2.356194496154785],[2.373647689819336],[2.391101121902466],[2.4085543155670166],[2.4260077476501465],[2.4434609413146973],[2.460914134979248],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],3.206752642207556,5.012547971876524,-0.8000349856044503
4,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.177500009536743],[4.186999797821045],[4.177000045776367],[nan],[nan],[4.114666673872206],[4.095707323493027],[0.8928333421548208],[0.8018666744232178],[0.7465624995529652],[0.7031428643635341],[0.7066086893496306],[0.7441666656070285],[0.7249393968871145],[0.7156818197532133],[0.7164255304539457],[0.6965833331147829],[0.6749183657217999],[0.6588163278540786],[0.6575918355766608],[0.6556122473308018],[0.6503673524272685],[0.6475510171481541],[0.6470816317869692],[0.6480204098078669],[0.6494285695406855],[0.650306122643607],[0.6664285696282679],[0.6711428566854827],[0.6840612255797094],[0.6851428625534992],[0.6966122486153428],[0.7198571406659626],[0.6938636357134039],[0.702454539862546],[0.7209999971091747],[0.730000006655852],[0.7639523801349458],[0.7561874967068434],[0.7696060646664012],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.189000129699707],[4.119999885559082],[3.510104164481163],[3.6760232614916424],[4.146718725562096],[4.04613514204283],[3.97623256749885],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[nan],[nan],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387813],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383427],[1.8151423931121822],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.4958207607269287],[2.5132741928100586],[2.5307273864746094],[2.54818058013916],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.8170227817974025,5.241143850864274,-1.5694020167224194
5,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.195000171661377],[4.17033330599467],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7697428533009121],[0.7709310301418962],[0.7214642912149429],[0.6858823509777293],[0.7206842083680002],[0.7758888933393691],[0.7486666661721689],[0.6802000015974045],[0.7051874995231628],[0.6833541666467985],[0.685621622446421],[0.6881666655341784],[0.6821020428015261],[0.6777142882347107],[0.673306122118113],[0.6697346945198215],[0.6714081618250632],[0.6752040824111627],[0.6850816315534164],[0.6880000043422618],[0.6832500036273684],[0.6757058886920705],[0.7199655216315697],[0.7298518551720513],[0.7569374926388264],[0.7525454488667574],[0.7217599987983704],[0.7312800073623658],[0.7325483848971706],[0.7744482817320988],[0.7472333391507466],[nan],[4.120567579527159],[4.139222198062473],[nan],[nan],[nan],[nan],[nan],[4.07616666952769],[nan],[nan],[3.7560425565597857],[3.732312485575676],[3.7501632632041466],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.0646508932113647],[1.0821040868759155],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.378810048103332],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446773],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[nan],[1.8151423931121822],[1.832595705986023],[nan],[nan],[nan],[nan],[nan],[1.9373154640197756],[nan],[nan],[1.9896752834320068],[2.0071287155151367],[2.0245819091796875],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],4.420443755625976,5.038721522280738,-2.2982427843982327
6,[3.3180204167657967],[3.350346939904349],[3.407918341305791],[3.437775514563736],[3.498795932652999],[3.5630816342879315],[3.5947499920924506],[3.6534791638453803],[3.7079795720625897],[3.7748261016348135],[3.8309111171298555],[3.872458338737488],[3.94580850702651],[4.041574462931207],[4.102552639810662],[4.1180000106493635],[4.1679999232292175],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7135000079870224],[0.755454547477491],[0.8029999988419669],[0.7353333314259847],[0.7189523776372274],[0.7100588205982657],[0.716266667842865],[0.6996530562031026],[0.6997959175888373],[0.6751224495926682],[0.6640816306581303],[0.6459183705096342],[0.635693873677935],[0.6309795927028267],[0.6330816344339021],[0.6323877524356453],[0.6269795906787016],[0.623795918055943],[0.6313061191111194],[0.6293469399822001],[0.6309183690012717],[0.6426938747873112],[0.6739591846660692],[0.6728367294584002],[0.6748775511371846],[0.6991249993443489],[0.6979347830233367],[0.7034651165784791],[0.7045500040054321],[0.7042500004172325],[0.7305333296457927],[0.7469999898563732],[0.7356363616206429],[0.8419285714626312],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.0515789232755965],[4.053142820085798],[4.053291658560435],[4.152166664600372],[4.098545464602384],[nan],[3.8183243339126176],[3.7996222178141275],[nan],[nan],[nan],[nan],[nan],[0.5235987901687622],[0.5410520434379578],[0.5585053563117981],[0.5759586691856384],[0.593411922454834],[0.6108652353286743],[0.6283185482025146],[0.6457718014717102],[0.6632251143455505],[0.6806784272193909],[0.6981316804885864],[0.7155849933624268],[0.7330383062362671],[0.7504915595054626],[0.767944872379303],[0.7853981852531433],[0.8028514385223389],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383427],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.391101121902466],[2.4085543155670166],[2.4260077476501465],[2.4434609413146973],[2.460914134979248],[nan],[2.4958207607269287],[2.5132741928100586],[nan],[nan],[nan],[nan],[nan],4.670795177983876,4.388101050628636,-3.120048944236702
7,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.945690489950634],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.6128125190734863],[3.45604349737582],[3.2356874893109002],[3.6874347717865654],[3.709872342170553],[3.727044455210368],[3.759173916733783],[3.8106041699647903],[3.8170212887703103],[3.83526668548584],[3.8652954480864783],[3.916173919387486],[3.949244425031874],[0.8230344858662836],[0.8006249964237213],[0.7812222198203758],[0.7871935521402667],[0.7918518516752455],[0.7938749957829714],[0.7701904745328993],[0.7274285682610103],[0.7065499991178512],[0.6908333367771573],[0.7182142840964454],[0.7224705850376802],[0.7320500046014786],[0.720038462143678],[0.7152285712105887],[0.7186818204142831],[0.7090384662151337],[0.7107037018846583],[0.7015714304787772],[0.7163999915122986],[0.7199565146280371],[0.7391999989748002],[0.7573750043908755],[0.7735000044107437],[0.7254838693526483],[0.7762499988079071],[0.7968181805177168],[0.7856923066652738],[0.8620000041049459],[0.8271666685740153],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.020355558395385],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.767944872379303],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.0646508932113647],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.378810048103332],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383427],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.4260077476501465],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],4.4586083766805364,3.7008899701832547,2.320493421733031
