Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1661157348.9985764,850,1661157348,992278632,world,3.8178493482840916,5.241376770506647,0.3988872766494751,0.0030072378140619414,0.013207946036788602,-0.7061463634815391,0.7079363107116468
1661157349.1986222,851,1661157349,192252966,world,3.816740565553687,5.2410687965437806,0.3984775245189667,0.0011433848328890094,0.01411562402629583,-0.7068081929335974,0.7072634729939153
1661157349.39852,852,1661157349,392262610,world,3.8164197150152273,5.240934194659368,0.3972095251083374,0.0014324322345096755,0.011470918731868354,-0.7062095290570772,0.7079085161447923
1661157349.5985663,853,1661157349,592222239,world,3.8178575909034027,5.2413653962658255,0.3988540768623352,0.0029373831131176975,0.013163130111320158,-0.7061161073166691,0.7079676170377239
1661157349.7985916,854,1661157349,792229027,world,3.816794804903268,5.2410860336514995,0.39860525727272034,0.001281719035276194,0.01431039772097814,-0.7066814983953686,0.707385912737212
1661157349.998504,855,1661157349,992242721,world,3.8164793997079784,5.2409047588092665,0.3969559669494629,0.0009060680491266597,0.011317466994024477,-0.7063980729820633,0.707723714784772
1661157350.1985664,856,1661157350,192234381,world,3.8178364471291615,5.2413707034406585,0.39886659383773804,0.002872711839653652,0.013257215088459019,-0.7060876687940458,0.7079944899162526
1661157350.3986285,857,1661157350,392231204,world,3.8167095006173444,5.241049729479235,0.39834776520729065,0.0007795840435754504,0.014214595659379058,-0.7067914679142859,0.7072786992427582
1661157350.598554,858,1661157350,592259627,world,3.8159374804920216,5.240776219699652,0.3962986171245575,-0.0006753590117572726,0.012107181745489762,-0.7062689297995842,0.7078397833126765
1661157350.7984385,859,1661157350,782254567,world,3.8180478111269567,5.24143309015674,0.39920637011528015,0.004832473662620396,0.012157252948546119,-0.7061415554164862,0.7079498231605336
1661157350.9984517,860,1661157350,992228546,world,3.816685340303513,5.241043975225273,0.39842692017555237,0.001010705666473881,0.014141225481702366,-0.7068924084180459,0.7071789922904002
1661157351.1984854,861,1661157351,192253495,world,3.816115856169789,5.24094583964661,0.39783379435539246,-2.0302025951280007e-05,0.014674816018198162,-0.7072295395339075,0.7068316827741361
1661157351.3984435,862,1661157351,392231496,world,3.8177951519111986,5.241348837607971,0.3987122178077698,0.002744023754062553,0.0129893192416801,-0.7062868043704646,0.7078013124397495
1661157351.598429,863,1661157351,592224682,world,3.816736607169204,5.24106927736473,0.39855849742889404,0.0013914495348567668,0.014158351676997338,-0.7067980378458619,0.7072723228313279
1661157351.798461,864,1661157351,792255285,world,3.816515704471678,5.240931598786141,0.3970966041088104,0.001168299688538094,0.011453752301392926,-0.7063167998783454,0.7078022498153487
1661157351.9984264,865,1661157351,992229566,world,3.817866537044292,5.2413806108168,0.3989163339138031,0.0030922879069506188,0.013190503597567335,-0.7061351543669707,0.7079474501242855
1661157352.1984384,866,1661157352,192250144,world,3.8167183325205913,5.241061622773853,0.3985110819339752,0.0013078273692685499,0.01411306337081112,-0.7068721802564952,0.7071992871951248
1661157352.3984292,867,1661157352,392221932,world,3.816534689884496,5.240922633603758,0.3971191942691803,0.0011592177264233144,0.011493299450460473,-0.7062663905555763,0.7078519236772637
1661157352.5984883,868,1661157352,592251828,world,3.8178308381031476,5.241360521388719,0.3988548219203949,0.0029889554346883293,0.013106372976586782,-0.7061650415266876,0.7079196446337817
1661157352.79844,869,1661157352,792227640,world,3.8167295459638453,5.241076899540216,0.3985319435596466,0.00124773310757912,0.014238639445576686,-0.7068137021405826,0.707255325024248
1661157352.9984767,870,1661157352,992252032,world,3.8166780249681382,5.241082133168086,0.39861947298049927,0.001588401201057174,0.01418637796841819,-0.7070812124078981,0.7069882479373605
1661157353.1985495,871,1661157353,192217684,world,3.817857749221131,5.241370133679004,0.39890292286872864,0.0031123649543184162,0.013129033777119818,-0.7061303799088867,0.7079532669789734
1661157353.3985248,872,1661157353,392229283,world,3.816757090970595,5.241079287850995,0.3985341489315033,0.0011758934118948862,0.014234878342924834,-0.7068036777217641,0.7072655418385901
1661157353.598485,873,1661157353,592223837,world,3.8161323143003445,5.240918596413075,0.3977867662906647,5.062912037968447e-05,0.014552873183230446,-0.7071230159697828,0.7069407695165157
1661157353.798553,874,1661157353,792243422,world,3.817830519909505,5.241363308119246,0.39877739548683167,0.0029067105139216325,0.01303689419037256,-0.7062014501776599,0.7078849498264727
1661157353.9986126,875,1661157353,992277017,world,3.8167923064916494,5.241080294509818,0.39852747321128845,0.0012475602148796045,0.014216838865429765,-0.7067075296328224,0.707361854107541
1661157354.198528,876,1661157354,192242108,world,3.8166801205087166,5.241080219698654,0.398450642824173,0.0014126600316842729,0.014021785313817122,-0.7070625842964656,0.7070105344450333
1661157354.3985865,877,1661157354,392245363,world,3.8178401624921636,5.241366792502522,0.398825079202652,0.002845463168208974,0.013250117307741574,-0.7061295992423632,0.7079529128441445
1661157354.5985327,878,1661157354,592264142,world,3.816647745168118,5.2410368191891425,0.39842209219932556,0.0009888290013931114,0.01412595436749687,-0.7069138369820166,0.7071579079058485
1661157354.7984874,879,1661157354,792225716,world,3.8161257043501475,5.240942901273661,0.3978634774684906,-4.341561492171228e-05,0.014794178442987397,-0.7070826938813042,0.7069760918254868
1661157354.9984775,880,1661157354,992229314,world,3.817774526703241,5.241351240577125,0.3986758887767792,0.0025739464075327737,0.013053359041109217,-0.7062755288749383,0.7078120244316717
