,ranges_0,ranges_1,ranges_2,ranges_3,ranges_4,ranges_5,ranges_6,ranges_7,ranges_8,ranges_9,ranges_10,ranges_11,ranges_12,ranges_13,ranges_14,ranges_15,ranges_16,ranges_17,ranges_18,ranges_19,ranges_20,ranges_21,ranges_22,ranges_23,ranges_24,ranges_25,ranges_26,ranges_27,ranges_28,ranges_29,ranges_30,ranges_31,ranges_32,ranges_33,ranges_34,ranges_35,ranges_36,ranges_37,ranges_38,ranges_39,ranges_40,ranges_41,ranges_42,ranges_43,ranges_44,ranges_45,ranges_46,ranges_47,ranges_48,ranges_49,ranges_50,ranges_51,ranges_52,ranges_53,ranges_54,ranges_55,ranges_56,ranges_57,ranges_58,ranges_59,ranges_60,ranges_61,ranges_62,ranges_63,ranges_64,ranges_65,ranges_66,ranges_67,ranges_68,ranges_69,ranges_70,ranges_71,ranges_72,ranges_73,ranges_74,ranges_75,ranges_76,ranges_77,ranges_78,ranges_79,ranges_80,ranges_81,ranges_82,ranges_83,ranges_84,ranges_85,ranges_86,ranges_87,ranges_88,ranges_89,ranges_90,ranges_91,ranges_92,ranges_93,ranges_94,ranges_95,ranges_96,ranges_97,ranges_98,ranges_99,ranges_100,ranges_101,ranges_102,ranges_103,ranges_104,ranges_105,ranges_106,ranges_107,ranges_108,ranges_109,ranges_110,ranges_111,ranges_112,ranges_113,ranges_114,ranges_115,ranges_116,ranges_117,ranges_118,ranges_119,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29,angles_30,angles_31,angles_32,angles_33,angles_34,angles_35,angles_36,angles_37,angles_38,angles_39,angles_40,angles_41,angles_42,angles_43,angles_44,angles_45,angles_46,angles_47,angles_48,angles_49,angles_50,angles_51,angles_52,angles_53,angles_54,angles_55,angles_56,angles_57,angles_58,angles_59,angles_60,angles_61,angles_62,angles_63,angles_64,angles_65,angles_66,angles_67,angles_68,angles_69,angles_70,angles_71,angles_72,angles_73,angles_74,angles_75,angles_76,angles_77,angles_78,angles_79,angles_80,angles_81,angles_82,angles_83,angles_84,angles_85,angles_86,angles_87,angles_88,angles_89,angles_90,angles_91,angles_92,angles_93,angles_94,angles_95,angles_96,angles_97,angles_98,angles_99,angles_100,angles_101,angles_102,angles_103,angles_104,angles_105,angles_106,angles_107,angles_108,angles_109,angles_110,angles_111,angles_112,angles_113,angles_114,angles_115,angles_116,angles_117,angles_118,angles_119,x,y,theta
0,[3.4170624911785126],[3.4567708323399224],[3.504042554408946],[3.5488333255052567],[3.585833335916201],[3.6439361724447696],[3.6867233895240945],[3.7521666636069617],[3.8088695640149326],[3.87627659959996],[3.909956532975902],[3.9996739159459653],[4.06462222205268],[4.135512841053498],[4.157357181821551],[4.1504998207092285],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.9397916669646899],[0.9387708331147829],[0.9307916661103567],[0.916812501847744],[0.912416667987903],[0.903770831724008],[0.895937497417132],[0.8911875002086163],[0.8872083326180776],[0.879479161153237],[0.8694374995927016],[0.8638750029106935],[0.8566666655242443],[0.8533749990165234],[0.845666665583849],[0.8407708356777827],[0.8391249974568685],[0.8418958336114883],[0.8415000041325887],[0.838520829876264],[0.8339166603982449],[0.8320416634281477],[0.8279374986886978],[0.8255208308498064],[0.822833334406217],[0.822270829230547],[0.8156875036656857],[0.8154791618386904],[0.8201458292702833],[0.8186250018576781],[0.8211458312968413],[0.8230416650573412],[0.825333325813214],[0.8213124995430311],[0.8200416627029578],[0.8235416660706202],[0.82322916512688],[0.8234791706005732],[0.8289999986688296],[0.8292083318034807],[0.8351041649778684],[0.8397916667163372],[0.8453749977052212],[0.8489583345750967],[0.8514166685442129],[0.8563750001291434],[0.8585625017682711],[0.8621874985595545],[0.8677499989668528],[0.8729583372672399],[0.8779999961455663],[0.8799999989569187],[0.8852499996622404],[0.8914791643619537],[0.9002500027418137],[0.9069166667759418],[0.9121041695276896],[0.9135833382606506],[0.9204583329459032],[0.932666660596927],[0.9384791702032089],[0.9346666609247526],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.807896556525395],[3.351750010793859],[nan],[3.2827708423137665],[3.1738333255052567],[0.5235987901687622],[0.5410520434379578],[0.5585053563117981],[0.5759586691856384],[0.593411922454834],[0.6108652353286743],[0.6283185482025146],[0.6457718014717102],[0.6632251143455505],[0.6806784272193909],[0.6981316804885864],[0.7155849933624268],[0.7330383062362671],[0.7504915595054626],[0.767944872379303],[0.7853981852531433],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.9948376417160034],[1.0122909545898438],[1.029744267463684],[1.0471975803375244],[1.0646508932113647],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383425],[1.8151423931121824],[1.832595705986023],[1.8500490188598635],[1.8675023317337038],[1.8849555253982544],[1.9024088382720947],[1.919862151145935],[1.9373154640197756],[1.954768776893616],[1.972222089767456],[1.9896752834320068],[2.0071287155151367],[2.0245819091796875],[2.0420351028442383],[2.059488534927368],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.5307273864746094],[2.54818058013916],[nan],[2.583087205886841],[2.6005406379699707],4.659961229551145,4.258926205181346,3.094603751704741
1,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7805000004314241],[nan],[0.8024545456423904],[0.7768936182590241],[0.7721041676898798],[0.7732291656235853],[0.7653333296378454],[0.7624166694780191],[0.8446097548415021],[0.7716041654348373],[0.7679583330949148],[0.7709166668355465],[0.7524285725184849],[1.031499981880188],[0.789000004529953],[0.8309444520208571],[4.1575000286102295],[nan],[4.15399980545044],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.3613568544387813],[nan],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[nan],[1.675516128540039],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],3.7196558347847657,2.9936857750287724,1.5871239367700585
2,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.0023333231608074],[1.011734698499952],[1.0012448965286722],[0.9907551030723416],[0.9798775497747927],[0.9761224498554152],[0.9717142837388175],[0.9633469411305019],[0.9571428566562886],[0.9504489789203722],[0.9394489782197135],[0.9376734677626162],[0.9300000010704508],[0.924693876383256],[0.9186734666629713],[0.916571424931896],[0.9117959190388115],[0.9055714303133439],[0.9041020395804424],[0.9006326490518998],[0.8982040809125317],[0.899551019376638],[0.8945918387296249],[0.8941224472863334],[0.8939591828657656],[0.8943061196074193],[0.8882653044194592],[0.8891428599552232],[0.8902449011802673],[0.8892653024926478],[0.8930612242951685],[0.8917755095326171],[0.8905510221208844],[0.8897550981871936],[0.8917142858310622],[0.8896530586846021],[0.8976530566507456],[0.8962040799004691],[0.8955714252530312],[0.9017755097272445],[0.8953673474642695],[0.9131224508188209],[0.9170204109075119],[0.914816326024581],[0.9180408229633253],[0.9224897975824318],[0.9303673481454655],[0.9385102074973437],[0.943999998423518],[0.932448975893916],[0.9518571386531908],[0.9395510201551476],[0.9560204099635689],[0.9649999993188041],[0.9786938781640968],[0.9948571385169516],[0.9848367279889633],[0.9854489710866189],[0.9507499933242798],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.9948376417160034],[1.0122909545898438],[1.029744267463684],[1.0471975803375244],[1.0646508932113647],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383425],[1.8151423931121824],[1.832595705986023],[1.8500490188598635],[1.8675023317337038],[1.8849555253982544],[1.9024088382720947],[1.919862151145935],[1.9373154640197756],[1.954768776893616],[1.972222089767456],[1.9896752834320068],[2.0071287155151367],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],2.7619678237654157,4.266335362809188,0.016376986497753966
3,[3.807456514109736],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.027268305057433],[2.2027826257373975],[0.6408979600789596],[0.6419591806372817],[0.6403265303494979],[0.6394693924456226],[0.6433265282183277],[0.6412244840544097],[0.6400612288591813],[0.6452244897277988],[0.6459591838778281],[0.6434897962881594],[0.6424489775482489],[0.6415306098607122],[0.6421224487071134],[0.6434081659025076],[0.643571429106654],[0.6443061256895259],[0.646244896917927],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.615978733022162],[4.177666664123535],[nan],[4.128709639272382],[4.077218741178513],[4.037571430206299],[0.5235987901687622],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.5132741928100586],[2.5307273864746094],[nan],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.7647055202081785,5.402582747006573,-1.5794568588703288
