,ranges_0,ranges_1,ranges_2,ranges_3,ranges_4,ranges_5,ranges_6,ranges_7,ranges_8,ranges_9,ranges_10,ranges_11,ranges_12,ranges_13,ranges_14,ranges_15,ranges_16,ranges_17,ranges_18,ranges_19,ranges_20,ranges_21,ranges_22,ranges_23,ranges_24,ranges_25,ranges_26,ranges_27,ranges_28,ranges_29,ranges_30,ranges_31,ranges_32,ranges_33,ranges_34,ranges_35,ranges_36,ranges_37,ranges_38,ranges_39,ranges_40,ranges_41,ranges_42,ranges_43,ranges_44,ranges_45,ranges_46,ranges_47,ranges_48,ranges_49,ranges_50,ranges_51,ranges_52,ranges_53,ranges_54,ranges_55,ranges_56,ranges_57,ranges_58,ranges_59,ranges_60,ranges_61,ranges_62,ranges_63,ranges_64,ranges_65,ranges_66,ranges_67,ranges_68,ranges_69,ranges_70,ranges_71,ranges_72,ranges_73,ranges_74,ranges_75,ranges_76,ranges_77,ranges_78,ranges_79,ranges_80,ranges_81,ranges_82,ranges_83,ranges_84,ranges_85,ranges_86,ranges_87,ranges_88,ranges_89,ranges_90,ranges_91,ranges_92,ranges_93,ranges_94,ranges_95,ranges_96,ranges_97,ranges_98,ranges_99,ranges_100,ranges_101,ranges_102,ranges_103,ranges_104,ranges_105,ranges_106,ranges_107,ranges_108,ranges_109,ranges_110,ranges_111,ranges_112,ranges_113,ranges_114,ranges_115,ranges_116,ranges_117,ranges_118,ranges_119,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29,angles_30,angles_31,angles_32,angles_33,angles_34,angles_35,angles_36,angles_37,angles_38,angles_39,angles_40,angles_41,angles_42,angles_43,angles_44,angles_45,angles_46,angles_47,angles_48,angles_49,angles_50,angles_51,angles_52,angles_53,angles_54,angles_55,angles_56,angles_57,angles_58,angles_59,angles_60,angles_61,angles_62,angles_63,angles_64,angles_65,angles_66,angles_67,angles_68,angles_69,angles_70,angles_71,angles_72,angles_73,angles_74,angles_75,angles_76,angles_77,angles_78,angles_79,angles_80,angles_81,angles_82,angles_83,angles_84,angles_85,angles_86,angles_87,angles_88,angles_89,angles_90,angles_91,angles_92,angles_93,angles_94,angles_95,angles_96,angles_97,angles_98,angles_99,angles_100,angles_101,angles_102,angles_103,angles_104,angles_105,angles_106,angles_107,angles_108,angles_109,angles_110,angles_111,angles_112,angles_113,angles_114,angles_115,angles_116,angles_117,angles_118,angles_119,x,y,theta
0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.000249981880188],[3.691265291097213],[4.172187477350235],[4.1631249984105425],[4.140360050201416],[4.186666647593181],[4.164999961853027],[4.183000087738037],[4.159999990463257],[4.179499983787537],[4.175099945068359],[4.169500044413975],[4.155526361967388],[4.159769241626446],[4.165187448263168],[0.5771632729744425],[0.5769387860687412],[0.577020420103657],[0.5768775587179222],[0.5776530735346735],[0.5780816394455579],[0.5791224460212552],[0.5814285704067775],[0.5826530480871395],[0.6342040811266217],[0.635285712018305],[0.6510888867908053],[0.6732448984165581],[nan],[nan],[0.5937142870864089],[0.6449999809265137],[nan],[4.197000026702881],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.9785454760898245],[4.10017643255346],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387813],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[nan],[nan],[1.7104226350784302],[1.7278759479522705],[nan],[1.7627825736999512],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.0245819091796875],[2.0420351028442383],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],3.2628189323531203,4.550442848548354,0.015926382249421504
1,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.7162727388468655],[3.679270843664805],[3.699666659037272],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7197346954929585],[0.705772725018588],[0.6994374965627989],[0.6994285717302439],[0.6906734704971313],[0.75489583487312],[0.7740408194308378],[0.7862448959934468],[0.6251836723210861],[0.774255320112756],[nan],[0.6737959202455015],[0.7341086942216625],[0.7369444403383467],[0.7410800004005432],[0.7605510171578855],[nan],[nan],[0.7207692250227317],[0.7119387777484193],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.8416590690612793],[3.8210833271344504],[nan],[4.187666734059651],[4.151076903709998],[4.1584999561309814],[4.191999912261963],[4.171000003814697],[4.163333415985107],[4.161499977111816],[4.156999905904134],[4.147857086999076],[4.1691427912030905],[4.149473642048083],[4.140260841535485],[4.129839992523193],[4.103071417127337],[4.109300025304159],[4.103321381977627],[4.0821281763223505],[4.0648000001907345],[4.07175612449646],[4.070025008916855],[4.055914286204747],[4.064048778720018],[4.037933323118422],[4.045121931448215],[4.053025001287461],[4.046763156589709],[4.046949988603592],[4.040743613854433],[4.065500002158315],[4.061897455117641],[4.047149962186813],[4.0500833127233715],[4.093068961439462],[4.0758666356404625],[4.086000006539481],[4.084714301994869],[4.097181811477199],[4.121275836023791],[4.1293181506070225],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.8203047513961792],[0.8377580642700195],[0.8552113175392151],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[nan],[1.5707963705062866],[1.5882495641708374],[1.6057028770446773],[1.623156189918518],[1.6406095027923584],[nan],[nan],[1.6929693222045898],[1.7104226350784302],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.8849555253982544],[1.9024088382720947],[nan],[1.9373154640197756],[1.954768776893616],[1.972222089767456],[1.9896752834320068],[2.0071287155151367],[2.0245819091796875],[2.0420351028442383],[2.059488534927368],[2.076941728591919],[2.094395160675049],[2.1118483543396005],[2.129301786422729],[2.1467549800872803],[2.164208173751831],[2.181661605834961],[2.199114799499512],[2.2165682315826416],[2.2340214252471924],[2.251474618911743],[2.268928050994873],[2.286381244659424],[2.3038346767425537],[2.3212878704071045],[2.3387413024902344],[2.356194496154785],[2.373647689819336],[2.391101121902466],[2.4085543155670166],[2.4260077476501465],[2.4434609413146973],[2.460914134979248],[2.478367567062378],[2.4958207607269287],[2.5132741928100586],[2.5307273864746094],[2.54818058013916],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.4126959857111756,5.122905946966317,-0.8425630678866873
2,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.182000160217285],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.6273877547711743],[0.6273877547711743],[0.7166938830395134],[0.7523469450522442],[0.7432500024636587],[0.7455918375326662],[0.7264285726206643],[nan],[0.6028979578796698],[0.6223478252473085],[0.6502708283563455],[0.6470816330033906],[0.7481428542915656],[0.7529583300153414],[0.7445172461970099],[0.7571020393955464],[0.7498510644790974],[0.631612241268158],[0.6741481489605374],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.15399980545044],[nan],[3.4364081596841616],[3.5777999997138976],[4.122407418710214],[4.084705885718851],[3.9018333421813116],[3.8792092966478924],[3.9243124797940254],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.099557399749756],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[nan],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.460914134979248],[nan],[2.4958207607269287],[2.5132741928100586],[2.5307273864746094],[2.54818058013916],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.891502730849209,5.267894323588573,-1.5638246502331414
3,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.16866668065389],[4.162750005722046],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7095999969376459],[nan],[nan],[nan],[0.7328333320717016],[0.6567142873394246],[0.6873157871396918],[0.6483333309491476],[0.6574666659037273],[0.7023953476617503],[0.7382448960323723],[0.6064897933784796],[0.7541428548949105],[0.7478979619181886],[0.7369387733693026],[0.6476326548323339],[0.6591836749290934],[0.671938778186331],[0.6833061235291618],[0.6944897989837491],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.01366662979126],[3.8107826087785805],[3.8149090788581153],[3.7780000255221413],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.099557399749756],[1.1170107126235962],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.3439035415649414],[nan],[nan],[nan],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.0071287155151367],[2.0245819091796875],[2.0420351028442383],[2.059488534927368],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],4.38831143458276,5.094945335069892,-2.308224464972756
4,[2.9137755072846705],[2.9647755184952094],[2.9983877503142065],[3.0206530483401552],[3.0432448873714524],[3.1151020283601722],[3.150265309275413],[3.1857346855864233],[3.2242857096146564],[3.308673483984811],[3.372163266551738],[3.4184285523940106],[3.4969183717455183],[3.537673463626784],[3.5817708472410836],[3.682612248829433],[3.749204090663365],[3.8132499804099402],[3.9109565278758174],[3.966065204661825],[4.074800038337708],[4.1217999935150145],[4.148499965667725],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.6105000078678131],[0.6222448969373897],[0.7540000081062317],[0.6933999981198992],[0.660734693614804],[0.6898749992251396],[0.7022352902328267],[0.5821666680276394],[0.6096530568842985],[0.6114897910429506],[0.611714277948652],[0.6127550845243492],[0.6136938832244094],[0.6151224520741677],[0.6168163163321358],[0.61751019589755],[0.6967826096907906],[nan],[nan],[nan],[nan],[nan],[nan],[4.1842498779296875],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.130899953842163],[4.0920000076293945],[4.152647046481862],[nan],[nan],[nan],[nan],[nan],[0.5235987901687622],[0.5410520434379578],[0.5585053563117981],[0.5759586691856384],[0.593411922454834],[0.6108652353286743],[0.6283185482025146],[0.6457718014717102],[0.6632251143455505],[0.6806784272193909],[0.6981316804885864],[0.7155849933624268],[0.7330383062362671],[0.7504915595054626],[0.767944872379303],[0.7853981852531433],[0.8028514385223389],[0.8203047513961792],[0.8377580642700195],[0.8552113175392151],[0.8726646304130554],[0.8901179432868958],[0.9075711965560912],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[nan],[nan],[nan],[nan],[nan],[nan],[1.8151423931121824],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.478367567062378],[2.4958207607269287],[2.5132741928100586],[nan],[nan],[nan],[nan],[nan],4.591373987560565,4.604339084251056,3.122125150956293
5,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.7165000098092213],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[3.30291489337353],[3.32985714503697],[2.9360612411888276],[3.0294285696379992],[3.4014285729855906],[3.4619796032808265],[3.4530612303286183],[3.475020403764686],[3.5505918629315434],[3.572387763432094],[3.591857136512289],[3.6790625105301538],[3.6610624939203262],[3.7164255304539457],[3.7408367225102017],[3.7901020341989944],[0.806800001197391],[0.7971818230368874],[3.8831428516478765],[0.7655833338697752],[0.7506530601151136],[0.7262666649288602],[0.699468085106383],[0.697785713842937],[0.714212768889488],[0.7211333274841308],[0.732586955246718],[0.7533829820917007],[0.7557499967515469],[0.7665714256617487],[0.7873265281015512],[0.7943265304273489],[0.8043877604056378],[0.798869568368663],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[4.040459426673683],[4.134428637368338],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.767944872379303],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.1344640254974363],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[1.239183783531189],[1.2566370964050293],[1.27409029006958],[1.2915436029434204],[1.3089969158172607],[1.326450228691101],[1.3439035415649414],[1.3613568544387815],[1.3788100481033323],[1.3962633609771729],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.4958207607269287],[2.5132741928100586],[nan],[nan],[nan],[nan],[nan],4.442808023185773,3.9650454275081155,2.303573144143961
6,[4.145666662851969],[4.178833405176799],[4.170000076293945],[4.145999908447266],[nan],[nan],[nan],[nan],[nan],[nan],[3.934999942779541],[3.9190487745331555],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7405714295348342],[0.7305208332836628],[0.7338541659216086],[0.7288749975462755],[0.7359791658818722],[0.7387346941597608],[0.7367755089487348],[0.7291428519754993],[0.7358333244919777],[0.7324897963173536],[0.7398163238350226],[0.7462040794139005],[0.7385714248735078],[0.743428568450772],[0.7396666672494676],[nan],[3.50242856084084],[3.4866530700605742],[3.505428562358934],[3.5425714376021404],[3.5471428462437222],[3.5907142940832646],[3.6176122402658266],[3.617395833134651],[3.6307142851304035],[3.67630613580042],[3.7066170256188573],[3.735500012834867],[3.7431632645276127],[3.771857144881268],[3.819346943680121],[3.843666672706604],[3.8867826202641362],[3.929800001780192],[3.980195672615715],[4.014840906316584],[4.049227275631645],[4.104888849788242],[4.113419317430066],[4.1477272727272725],[4.178285734994071],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.5235987901687622],[0.5410520434379578],[0.5585053563117981],[0.5759586691856384],[nan],[nan],[nan],[nan],[nan],[nan],[0.6981316804885864],[0.7155849933624268],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.4137166738510132],[1.4311699867248535],[1.4486232995986938],[1.4660766124725342],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[nan],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[1.7627825736999512],[1.7802358865737915],[1.7976890802383425],[1.8151423931121824],[1.832595705986023],[1.8500490188598635],[1.8675023317337038],[1.8849555253982544],[1.9024088382720947],[1.919862151145935],[1.9373154640197756],[1.954768776893616],[1.972222089767456],[1.9896752834320068],[2.0071287155151367],[2.0245819091796875],[2.0420351028442383],[2.059488534927368],[2.076941728591919],[2.094395160675049],[2.1118483543396],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],3.9549090168352348,3.7787139215258603,1.626007234611588
7,[4.194499969482422],[4.175],[4.181599950790405],[4.162703726026747],[4.164666632811229],[4.142999998728434],[4.143171405792236],[4.10612120772853],[4.086636369878596],[3.3843061388755333],[3.8212000105116104],[3.9437441604081975],[4.0359722177187605],[4.050648669938783],[4.066166645950741],[3.967538460707053],[3.983829271502611],[4.041780535767718],[4.04431425503322],[4.051199987956456],[4.026142875353496],[4.052999973297119],[4.061729766227104],[4.055755562252468],[4.073096806003202],[4.072574979066848],[4.056914281845093],[4.082361141840617],[4.078714275360108],[4.1144193372418805],[4.118363640525124],[4.112096771117179],[4.139611111746894],[4.126782624617867],[4.157814838268139],[4.164176436031566],[4.158624947071075],[4.16266663869222],[4.18149995803833],[4.174999952316284],[4.198999881744385],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.7556249983608723],[0.7323333372672399],[0.7237959163529533],[0.7091956527336784],[0.701717390962269],[0.6941836756102893],[0.6872448945532039],[0.6762857096535819],[0.666387756260074],[0.6595510220041081],[0.6486734687065592],[0.6462449017836123],[0.6565306089362319],[0.6683265347870029],[0.6806122490337917],[0.6914693846994516],[nan],[nan],[0.7198297863310956],[0.7630714305809566],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.6767142840794156],[2.694551020252461],[3.076612243846971],[3.0723673616136824],[3.077795914241246],[3.0789999913196175],[3.0714081452817332],[3.0742040848245424],[3.083244902747018],[3.1010408158204994],[3.1103673613801295],[3.1126734626536465],[3.1137551044931215],[3.1306122517099184],[3.1554897950620067],[0.5235987901687622],[0.5410520434379578],[0.5585053563117981],[0.5759586691856384],[0.593411922454834],[0.6108652353286743],[0.6283185482025146],[0.6457718014717102],[0.6632251143455505],[0.6806784272193909],[0.6981316804885864],[0.7155849933624268],[0.7330383062362671],[0.7504915595054626],[0.767944872379303],[0.7853981852531433],[0.8028514385223389],[0.8203047513961792],[0.8377580642700195],[0.8552113175392151],[0.8726646304130554],[0.8901179432868958],[0.9075711965560911],[0.9250245094299316],[0.942477822303772],[0.9599310755729678],[0.9773843884468081],[0.9948376417160034],[1.0122909545898438],[1.029744267463684],[1.0471975803375244],[1.0646508932113647],[1.0821040868759155],[1.099557399749756],[1.1170107126235962],[1.134464025497436],[1.1519173383712769],[1.1693706512451172],[1.186823844909668],[1.2042771577835083],[1.2217304706573486],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.483529806137085],[1.5009831190109253],[1.5184364318847656],[1.535889744758606],[1.5533430576324463],[1.5707963705062866],[1.5882495641708374],[1.6057028770446775],[1.623156189918518],[1.6406095027923584],[1.6580628156661987],[1.675516128540039],[1.6929693222045898],[1.7104226350784302],[1.7278759479522705],[1.7453292608261108],[nan],[nan],[1.7976890802383425],[1.8151423931121824],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.356194496154785],[2.373647689819336],[2.391101121902466],[2.4085543155670166],[2.4260077476501465],[2.4434609413146973],[2.460914134979248],[2.478367567062378],[2.4958207607269287],[2.5132741928100586],[2.5307273864746094],[2.54818058013916],[2.56563401222229],[2.583087205886841],[2.6005406379699707],3.3919825191045945,4.068303327640432,0.6648842535700875
